Empirical Data_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
1.65,2,7.5,1.7,7.67,1.44,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.21,1.03,0.85,1.18,4.4,2,14.83,3.01,302.64,1.32,30.27,8.8,1.72,1.78,1.1,2.91,2.36,4.07,676.79,2.49,3.61,3.15,3.54,23.14,1.37
2,2,7.5,1.7,7.93,1.44,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.21,1.03,0.85,1.18,4.47,2,14.87,3.01,302.64,1.32,30.27,9.14,1.72,1.78,1.14,2.96,2.36,4.08,695.18,2.5,3.61,3.17,3.54,23.33,1.37
2,2,7.5,1.7,7.93,1.44,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.21,1.03,0.85,1.18,4.47,2,14.97,3.01,302.64,1.32,33.09,9.22,1.72,1.82,1.14,2.96,2.38,4.08,695.18,2.56,3.61,3.27,3.54,23.53,1.37
2,2,7.5,1.7,7.93,1.44,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.21,1.03,0.85,1.18,4.47,2,14.93,3.01,302.64,1.32,33.09,9.22,1.72,1.82,1.12,2.96,2.38,4.08,695.18,2.57,3.61,3.34,3.54,22.82,1.37
2,2,7.5,1.7,8.15,1.5,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.21,1.03,0.85,1.18,4.72,2,14.95,3.01,302.64,1.32,33.09,9.62,1.72,1.82,1.12,2.96,2.38,4.08,695.18,2.74,3.61,3.34,3.54,22.82,1.37
2,2,7.5,1.7,8.15,1.5,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.21,1.03,0.85,1.18,4.72,2,14.95,3.01,302.64,1.34,33.09,9.52,1.72,1.85,1.12,2.96,2.38,4.07,695.18,2.72,3.57,3.34,3.54,22.82,1.37
2.24,2,10.4,1.7,8.07,1.5,0.5,0.4,0.5,1.03,0.5,1.5,266.5,1.41,1.03,0.85,1.18,4.72,2,14.95,3.01,302.64,1.34,34.56,9.52,1.72,1.85,1.12,2.95,2.38,4.07,702,2.71,3.57,3.34,3.54,23.48,1.37
2.24,2,10.4,1.7,8.23,1.5,0.5,0.4,0.5,1.03,0.5,1.54,266.5,1.51,1.3,0.97,1.3,4.72,2,14.95,3.03,302.64,1.34,34.06,9.51,1.72,1.89,1.12,2.95,2.41,4.07,702,2.71,3.57,3.41,3.54,23.48,1.37
2.24,2,10.4,1.7,8.23,1.5,0.5,0.4,0.7,1.03,0.5,1.5,266.5,1.51,1.3,0.97,1.3,4.72,2,14.95,3.08,305.8,1.34,34.07,9.51,1.73,1.92,1.14,2.95,2.5,4.07,702.06,2.71,3.57,3.42,3.54,24.66,1.37
2.24,2,10.4,1.7,8.23,1.5,0.5,0.4,0.7,1.03,0.5,1.54,266.5,1.51,1.3,0.97,1.3,4.72,2,14.96,3.08,305.8,1.34,34.07,9.51,1.73,1.92,1.14,2.95,2.5,4.07,702.06,2.71,3.59,3.42,3.54,24.66,1.37
2.44,2,10.4,1.7,8.23,1.5,0.5,0.4,0.7,1.03,0.5,1.54,266.5,1.51,1.3,0.97,1.3,4.72,2,14.96,3.08,305.8,1.34,34.07,9.51,1.73,1.92,1.14,2.95,2.5,4.07,702.06,2.71,3.59,3.42,3.54,24.66,1.37
2.44,2,10.4,1.7,8.23,1.5,0.5,0.4,0.7,1.03,0.5,1.5,266.5,1.51,1.3,0.97,1.3,4.72,2,14.96,3.08,305.8,1.34,34.07,9.51,1.73,1.92,1.14,2.95,2.5,4.07,702.06,2.71,3.59,3.42,3.54,24.66,1.37
1.7,2,8.46,1.7,6.66,1.44,0.5,0.47,0.7,1.03,0.5,1.5,298.33,1.21,1.13,2.5,1.28,4.34,2,12.31,2.88,305.8,1.36,27.01,11.43,1.55,1.86,0.88,1.47,0.72,4.28,893.03,2.62,12,3.69,2.7,23.69,2.3
1.7,2,8.46,1.7,6.66,1.44,0.5,0.47,0.7,1.03,0.5,1.5,298.33,1.21,1.13,2.5,1.28,4.34,2,12.31,2.58,302.64,1.36,27.01,11.43,1.55,1.86,0.88,1.47,0.72,4.28,893.03,2.62,8.1,3.69,2.7,23.69,2.3
1.7,2,8.46,1.7,6.66,1.64,0.5,0.47,0.7,1.03,0.5,1.5,298.33,1.21,1.13,2.5,1.28,4.34,2,12.31,2.58,302.64,1.36,27.01,11.43,1.55,1.86,0.88,1.47,0.72,4.28,893.03,2.62,8.1,3.69,2.7,23.69,2.3
1.7,2,8.46,1.7,6.66,1.64,0.5,0.47,0.7,1.03,0.5,1.5,298.33,1.51,1.3,2.5,1.28,4.34,2,12.31,2.58,302.64,1.39,27.01,11.43,1.55,1.86,0.88,1.49,0.72,4.28,893.03,2.65,8.13,3.69,2.7,23.69,2.3
2.03,1.52,9.36,1.7,6.66,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.51,1.3,2.5,1.28,4.34,2,12.31,2.58,302.64,1.39,27.01,11.43,1.55,1.86,0.88,1.49,0.72,4.28,893.03,2.72,8.1,3.69,2.7,13.69,2.3
2.03,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.51,1.3,2.5,1.28,4.34,2,12.31,2.58,302.64,1.39,27.01,9.51,1.55,1.86,0.88,1.49,0.72,4.28,893.03,2.72,8.13,3.69,2.7,13.69,2.65
2.03,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.51,1.3,2.5,1.28,4.34,2,12.41,2.58,302.64,1.42,27.01,9.14,1.55,1.86,0.88,1.49,0.72,4.28,893.03,2.72,8.1,3.69,2.7,13.69,2.65
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.51,1.3,2.5,1.28,4.64,2,12.41,2.79,302.64,1.39,27.01,9.52,1.55,1.9,0.9,1.49,0.82,4.28,893.03,2.72,8.1,3.69,2.7,13.69,2.78
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.51,1.3,2.5,1.28,4.64,2,13.37,3.18,302.64,1.48,27.35,10.4,1.55,1.92,0.88,1.51,0.82,4.31,893.03,2.62,12,3.69,2.7,27.3,2.78
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.68,1.3,2.5,1.38,4.64,2,13.37,3,302.64,1.46,27.35,9.88,1.55,1.92,0.9,1.51,0.82,4.31,893.07,2.73,12,3.69,2.7,27.3,2.78
