Empirical Data_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55
24.2,100.84,14.12,7.06,6.05,3.98,3.3,1.6,2.68,5.39,23.22,1.24,12.1,1.78,2.25,8.32,3.23,24.95,77.15,1.62,25160.57,1443.88,1175.84,2727.67,2223.49,179.77,0.33,59.27,85.33,35.01,18.15,110.65,51.86,116.98,153.97,11334.62,8271.77,5076.11,1.54,6.55,4.03,70.59,3.86,3.48,2.63,2.31,4.58,2.74,3.96,2.96,2.45,49.15,26003.4,2232.53,24592.1,34.2,110.84,22.12,17.06,16.05,12.98,13.3,11.6,12.68,15.39,33.22,11.24,12.1,1.78,2.25,8.32,13.23,24.95,87.15,1.62,25170.57,1452.88,1185.84,2737.67,2231.49,189.77,10.33,69.27,95.33,39.01,28.15,120.65,61.86,126.98,163.97,11344.62,8281.77,5086.11,6.54,16.55,14.03,80.59,13.86,10.48,12.63,7.31,14.58,8.74,13.96,12.96,11.45,59.15,26004.4,2237.53,24597.1
5.5,22.78,4.56,1.37,1.71,1.06,0.55,1.08,0.56,1.59,5.08,0.48,5.69,0.79,1.22,2.75,0.37,4.62,14.66,1.6,18323.41,280.87,171.02,516.75,279.61,71.63,0.22,21.49,30.79,7.55,4.58,50.97,34.69,78.22,98.09,1447.98,670.91,347,5.83,2.29,0.92,13.74,0.86,1.04,0.57,0.63,1.26,1.13,0.83,1.51,0.52,7.44,18410.6,143.22,2536.41,15.5,32.78,12.56,11.37,11.71,10.06,10.55,11.08,10.56,11.59,15.08,10.48,5.69,0.79,1.22,2.75,10.37,4.62,24.66,1.6,18333.41,289.87,181.02,526.75,287.61,81.63,10.22,31.49,40.79,11.55,14.58,60.97,44.69,88.22,108.09,1457.98,680.91,357,10.83,12.29,10.92,23.74,10.86,8.04,10.57,5.63,11.26,7.13,10.83,11.51,9.52,17.44,18411.6,148.22,2541.41
2.53,12.66,3.38,1.27,1.69,0.52,0.2,0.46,0.14,1.17,6.71,0.26,6.33,1.26,1.59,2.11,0.17,3.66,10.13,0.29,24482.47,192.64,124.45,314.36,199.81,36.88,0.08,31.35,17.16,12.66,4.22,36.06,43.7,63.28,61.62,1485.95,850.8,277.06,5.86,0.42,0.42,4.22,2.12,1.44,0.49,0.55,0.66,0.99,0.75,2.82,0.41,10.09,22607.87,71.76,2146.78,12.53,22.66,11.38,11.27,11.69,9.52,10.2,10.46,10.14,11.17,16.71,10.26,6.33,1.26,1.59,2.11,10.17,3.66,20.13,0.29,24492.47,201.64,134.45,324.36,207.81,46.88,10.08,41.35,27.16,16.66,14.22,46.06,53.7,73.28,71.62,1495.95,860.8,287.06,10.86,10.42,10.42,14.22,12.12,8.44,10.49,5.55,10.66,6.99,10.75,12.82,9.41,20.09,22608.87,76.76,2151.78
6.67,21.35,4.94,1.87,2.13,1.01,0.8,0.79,1.09,1.42,5.33,0.84,4,0.97,1.91,1.87,0.35,3.55,16.01,0.92,14408.88,279.62,216.93,519.44,417.21,79.52,0.12,32.84,28.49,9.73,5.34,52.27,38.49,67.6,77.01,2415.66,1729.47,542.51,30.37,0.93,0.58,5.22,1.4,0.84,0.64,0.85,1.6,0.9,1.12,1.12,0.75,5.02,15662.16,147.68,2518.26,16.67,31.35,12.94,11.87,12.13,10.01,10.8,10.79,11.09,11.42,15.33,10.84,4,0.97,1.91,1.87,10.35,3.55,26.01,0.92,14418.88,288.62,226.93,529.44,425.21,89.52,10.12,42.84,38.49,13.73,15.34,62.27,48.49,77.6,87.01,2425.66,1739.47,552.51,35.37,10.93,10.58,15.22,11.4,7.84,10.64,5.85,11.6,6.9,11.12,11.12,9.75,15.02,15663.16,152.68,2523.26
5.67,24.72,5.15,1.24,1.7,0.63,0.43,0.86,0.49,1.53,4.53,0.5,5.15,0.89,1.18,1.24,0.21,4.68,12.36,0.94,13391.07,341.3,185.06,645.81,338.56,74.96,0.04,16.24,48.41,11.95,5.15,50.54,38.07,76,76.6,1196.36,652.84,322.7,12.08,1.24,0.21,2.47,1.03,1.27,0.48,0.31,1.87,1.15,0.93,1.38,0.52,6.31,19374.92,156.96,2884.23,15.67,34.72,13.15,11.24,11.7,9.63,10.43,10.86,10.49,11.53,14.53,10.5,5.15,0.89,1.18,1.24,10.21,4.68,22.36,0.94,13401.07,350.3,195.06,655.81,346.56,84.96,10.04,26.24,58.41,15.95,15.15,60.54,48.07,86,86.6,1206.36,662.84,332.7,17.08,11.24,10.21,12.47,11.03,8.27,10.48,5.31,11.87,7.15,10.93,11.38,9.52,16.31,19375.92,161.96,2889.23
12.89,57.27,7.87,5.73,5.73,2.31,1.93,1.03,1.8,3.05,6.25,1.29,10.74,3.16,3.96,20.44,2.86,7.31,103.8,1.05,17896.52,1206.97,921.28,1942.07,1335,141.82,0.14,52.66,44.4,13.9,12.89,70.08,44.4,95.33,99.73,5450.51,3839.26,3042.64,4.46,3.01,1.43,35.22,2.89,2.64,2.22,1.8,3.09,1.84,3.47,2.31,1.79,10.75,16907.51,1167.54,14032.57,22.89,67.27,15.87,15.73,15.73,11.31,11.93,11.03,11.8,13.05,16.25,11.29,10.74,3.16,3.96,20.44,12.86,7.31,113.8,1.05,17906.52,1215.97,931.28,1952.07,1343,151.82,10.14,62.66,54.4,17.9,22.89,80.08,54.4,105.33,109.73,5460.51,3849.26,3052.64,9.46,13.01,11.43,45.22,12.89,9.64,12.22,6.8,13.09,7.84,13.47,12.31,10.79,20.75,16908.51,1172.54,14037.57
12.53,56.94,7.97,4.33,4.33,2.98,2.31,1.23,2.03,3.46,12.22,0.73,6.83,1.14,1.79,5.86,2.73,11.48,51.59,1.39,22775.2,827.6,659.65,1522.65,1179.62,208.61,0.06,33.31,34.42,20.12,11.39,89.24,39.06,91.11,125.14,5310.02,3688.9,2208.51,2.08,4.56,2.28,30.75,2.63,2.68,1.68,1.44,3.38,2.11,2.57,2.04,1.4,19.34,22684.75,268.78,18482.95,22.53,66.94,15.97,14.33,14.33,11.98,12.31,11.23,12.03,13.46,22.22,10.73,6.83,1.14,1.79,5.86,12.73,11.48,61.59,1.39,22785.2,836.6,669.65,1532.65,1187.62,218.61,10.06,43.31,44.42,24.12,21.39,99.24,49.06,101.11,135.14,5320.02,3698.9,2218.51,7.08,14.56,12.28,40.75,12.63,9.68,11.68,6.44,13.38,8.11,12.57,12.04,10.4,29.34,22685.75,273.78,18487.95
5.87,23.49,4.7,0.88,1.76,0.36,0.21,0.84,0.28,1.19,3.42,0.45,4.11,0.85,1.64,2.35,0.18,3.29,8.81,0.54,17621.15,285.58,150.76,575.83,289.63,40.03,0.03,14.05,30.96,12.84,4.11,39.07,40.07,79.38,64.4,1328.63,598.25,279.93,8.35,1.17,0.35,1.76,0.8,1.4,0.51,0.4,2,1.23,0.74,1.45,0.32,6.59,19428.65,210.92,5042.17,15.87,33.49,12.7,10.88,11.76,9.36,10.21,10.84,10.28,11.19,13.42,10.45,4.11,0.85,1.64,2.35,10.18,3.29,18.81,0.54,17631.15,294.58,160.76,585.83,297.63,50.03,10.03,24.05,40.96,16.84,14.11,49.07,50.07,89.38,74.4,1338.63,608.25,289.93,13.35,11.17,10.35,11.76,10.8,8.4,10.51,5.4,12,7.23,10.74,11.45,9.32,16.59,19429.65,215.92,5047.17
17.08,68.33,9.11,4.44,3.42,2.5,2.29,1.08,1.93,2.84,13.24,0.89,7.97,1.37,2.17,7.4,2.51,9.89,55.8,1.6,23412.91,824.36,690.73,1322.05,1080.92,156.97,0.21,50.47,29.75,17.16,11.96,98.94,38.8,99.19,136.17,3376.65,2804.46,2173.3,2.1,4.56,2.28,37.01,2.33,2.42,1.45,1.36,3.1,2.02,2.38,1.96,1.33,15.34,26092.25,627.46,17368.57,27.08,78.33,17.11,14.44,13.42,11.5,12.29,11.08,11.93,12.84,23.24,10.89,7.97,1.37,2.17,7.4,12.51,9.89,65.8,1.6,23422.91,833.36,700.73,1332.05,1088.92,166.97,10.21,60.47,39.75,21.16,21.96,108.94,48.8,109.19,146.17,3386.65,2814.46,2183.3,7.1,14.56,12.28,47.01,12.33,9.42,11.45,6.36,13.1,8.02,12.38,11.96,10.33,25.34,26093.25,632.46,17373.57
4.08,17.48,4.08,1.46,1.75,1.31,0.7,0.79,0.61,1.66,5.72,0.59,4.66,0.65,1.03,3.03,1.05,4.14,29.14,1.27,19202.75,208.26,145.34,361.43,243.9,139.66,0.12,23.89,25.58,8.46,4.08,60.9,32,75.6,86.19,1374.51,976.97,479.48,5.33,1.17,0.58,5.83,0.95,1.18,0.53,0.58,1.05,1.17,1.12,1.18,0.58,8.03,18892.86,140.42,3507.88,14.08,27.48,12.08,11.46,11.75,10.31,10.7,10.79,10.61,11.66,15.72,10.59,4.66,0.65,1.03,3.03,11.05,4.14,39.14,1.27,19212.75,217.26,155.34,371.43,251.9,149.66,10.12,33.89,35.58,12.46,14.08,70.9,42,85.6,96.19,1384.51,986.97,489.48,10.33,11.17,10.58,15.83,10.95,8.18,10.53,5.58,11.05,7.17,11.12,11.18,9.58,18.03,18893.86,145.42,3512.88
